Date,Description,Debit,Credit,Balance
2024-01-05,SALARY PAYMENT FROM ACME LTD JOHN DOE,,450000.00,450000.00
2024-01-08,POS PURCHASE SHOPRITE LAGOS,12500.50,,437499.50
2024-01-12,TRANSFER TO JANE SMITH RENT,150000.00,,287499.50
2024-02-01,SALARY PAYMENT FROM ACME LTD JOHN DOE,,450000.00,737499.50
2024-02-03,ATM WITHDRAWAL GTB IKEJA,20000.00,,717499.50
2024-02-15,UBER TRIP JOHN DOE,3450.75,,714048.75
2024-03-01,SALARY PAYMENT FROM ACME LTD JOHN DOE,,450000.00,1164048.75
2024-03-10,REFUND FROM JUMIA JOHN DOE,,8900.00,1172948.75
2024-03-22,POS PURCHASE JOHN DOE FUEL,15000.00,,1157948.75
2024-04-05,TRANSFER TO LANDLORD JANE SMITH,150000.00,,1007948.75
